target_model,predictor,unique_r2,relative_r2
Qwen_Qwen3-4B-Base — Raw counts,lex_emb_norm,0.0003910157201907,0.0007428204316304
Qwen_Qwen3-4B-Base — Raw counts,log_frequency,0.0001653732334747,0.0003141628592577
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_7,0.0001043866459932,0.0001983054118522
Qwen_Qwen3-4B-Base — Raw counts,"C(dominance, Treatment(reference='-dom'))",7.808908024009575e-05,0.0001483473970337
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_3,6.24080528199844e-05,0.0001185578337115
Qwen_Qwen3-4B-Base — Raw counts,profession_embedding_10,1.7188444293658733e-05,3.265323348903681e-05
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_2,0.1703434803072875,0.5381429495575195
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_9,0.0406251610491953,0.1283415364874868
Qwen_Qwen3-4B-Base — TF-IDF,log_frequency,0.0249090782708002,0.0786918573415697
Qwen_Qwen3-4B-Base — TF-IDF,lex_emb_norm,0.0203070283455611,0.0641532280009482
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_8,0.0176231309870972,0.0556743567333894
Qwen_Qwen3-4B-Base — TF-IDF,C(syntactic_role),0.0129585927854178,0.0409383166944795
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_4,0.011106681666602,0.0350878262031489
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_10,0.0058933800997128,0.0186181528286373
Qwen_Qwen3-4B-Base — TF-IDF,profession_embedding_3,0.0039194811675471,0.0123822828583403
Qwen_Qwen3-4B-Base — TF-IDF,C(tense),0.0034350113818987,0.0108517634692212
